filename,fecha_de_radicacion,has_unredacted,unredacted_vars,unredacted_values,sbp_application,county,state,country,mailing_county,mailing_state,mail_country,taxable_year_end,total_net_worth,identification_type,income_interest_exempt,income_interest_nonexempt,income_dividends_exempt,income_dividends_nonexempt,income_capital_gains_exempt,income_capital_gains_nonexempt,income_wages_exempt,income_wages_nonexempt,income_other_income_exempt,income_other_income_nonexempt,does_grantee_own_a_home_in_puerto_rico_or_does_he/she_rent_it,primary_property_value,monthly_rent_pay,real_estate_municipality,n_nonprimary_real_estate,does_grantee_have_assets_located_in_puerto_rico,previous_reporting_year,current_reporting_year,asset_type_financial_previous_reporting_year,asset_type_financial_current_reporting_year,asset_type_financial_difference,asset_type_real_estate_previous_reporting_year,asset_type_real_estate_current_reporting_year,asset_type_real_estate_difference,asset_type_privately_held_business_previous_reporting_year,asset_type_privately_held_business_current_reporting_year,asset_type_privately_held_business_difference,asset_type_other_previous_reporting_year,asset_type_other_current_reporting_year,asset_type_other_difference,n_business,business_type_1,business_decree_1,business_type_2,business_decree_2,business_type_3,business_decree_3,business_type_4,business_decree_4,business_type_5,business_decree_5,business_type_6,business_decree_6,business_type_7,business_decree_7,business_type_8,business_decree_8,business_type_9,business_decree_9,n_hh,days_in_pr,expenditure_in_pr,charity_in_pr,total_amount_donated
2019-RepAct22-000135_Redacted 5.pdf,2019-05-15 19:31:44.575,TRUE,mailing_address,Cond Plaza del Prado 7 Carr 833 Apto 802-A,No,Guaynabo,Puerto Rico,REDACTED,Guaynabo,Puerto Rico,USA,31-12-2018,From 1 to 5 million,Social Security Number,3092,0,74753,0,229749,89432,0,34720,0,498407,Own,NA,NA,NA,6,TRUE,2017,2018,2356404,4734552,2378148,707000,707000,0,0,1642130,1642130,240000,240000,0,1,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,365,80202,Yes,10000
2019-RepAct22-000135_Redacted.pdf,2019-05-15 19:31:44.575,TRUE,mailing_address,Cond Plaza del Prado 7 Carr 833 Apto 802-A,No,Guaynabo,Puerto Rico,REDACTED,Guaynabo,Puerto Rico,USA,31-12-2018,From 1 to 5 million,Social Security Number,3092,0,74753,0,229749,89432,0,34720,0,498407,Own,NA,NA,NA,6,TRUE,2017,2018,2356404,4734552,2378148,707000,707000,0,0,1642130,1642130,240000,240000,0,1,Financial,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,365,80202,Yes,10000
2019-RepAct22-000136_Redacted.pdf,2019-05-14 17:00:43.886,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,31-12-2018,From 10 to 25 million,REDACTED,11922,0,125352,0,663801,57511,0,0,0,1469,Own,1300000,NA,NA,0,TRUE,2017,2018,15000,20000,5000,1300000,1300000,0,0,0,0,30000,40000,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,196,50000,No,NA
2019-RepAct22-000137_Redacted.pdf,"2019-05-14 17:07:49,198",FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,31-12-2018,From 10 to 25 million,REDACTED,11924,0,125352,0,663801,57511,0,0,0,1469,Own,1300000,NA,NA,0,TRUE,2017,2018,15000,20000,5000,1300000,1300000,0,0,0,0,30000,40000,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,205,45000,No,NA
2019-RepAct22-000138_Redacted.pdf,2019-05-15 15:37:56.933,TRUE,other_charity_or_non-profit,School,No,Dorado,Puerto Rico,USA,Dorado,Puerto Rico,USA,31-12-2018,From 5 to 10 million,Social Security Number,14797,0,58050,0,384756,12915,0,50000,0,170258,Own,1445000,NA,NA,0,TRUE,2017,2018,143346,41270,-102076,1445000,1445000,0,50000,69655,19655,12500,12500,0,2,Financial,TRUE,Financial,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,308,90000,Yes,1500
2019-RepAct22-000140_Redacted.pdf,2019-05-15 20:22:42.615,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,31-12-2018,From 5 to 10 million,Social Security Number,32875,0,25977,0,0,0,0,1147857,0,4017,Rent,NA,6500,San Juan,0,TRUE,2017,2018,465797,1189074,723277,0,0,0,0,0,0,30000,25000,-5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,287,50000,Yes,28400
2019-RepAct22-000141_Redacted.pdf,2019-05-15 20:28:31.403,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,8/1/20,From 5 to 10 million,Social Security Number,32875,0,25977,0,0,0,0,1147857,0,4017,Rent,NA,6500,San Juan,0,TRUE,2017,2018,465797,1189074,723277,0,0,0,0,0,0,30000,25000,-5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,REDACTED,NA,Yes,28400
2019-RepAct22-000142_Redacted.pdf,2019-05-14 23:27:07.539,FALSE,NA,NA,No,San Juan,Puerto Rico,USA,San Juan,Puerto Rico,USA,31-12-2018,Less than 1 million,Social Security Number,15,0,62,0,344909,0,0,146,0,697,Rent,NA,1800,San Juan,0,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,306,35000,Yes,5000
2019-RepAct22-000143_Redacted.pdf,2019-05-15 19:20:10.816,FALSE,NA,NA,No,Dorado,Puerto Rico,USA,Dorado,Puerto Rico,USA,31-12-2018,Less than 1 million,Social Security Number,1,0,0,0,0,0,0,197662,0,0,Rent,NA,8000,Dorado,0,TRUE,2017,2018,0,1000,1000,0,0,0,0,0,0,30000,1e+05,70000,1,Retail Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,183,120000,Yes,10000
2019-RepAct22-000144_Redacted.pdf,2019-05-16 13:09:16.401,FALSE,NA,NA,No,Guaynabo,Puerto Rico,USA,Bayamón,Puerto Rico,USA,31-12-2018,From 1 to 5 million,Social Security Number,0,0,123124,0,0,0,0,0,0,0,Own,8e+05,NA,NA,0,TRUE,2017,2018,330000,330000,0,371300,8e+05,428700,233000,233000,0,0,0,0,2,Retail Services,FALSE,Retail Services,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,325,90000,No,NA
